"","latitude","longitude"
"1",51.538802,-0.143018
"2",51.538815,-0.142955
"3",51.53883,-0.142897
"4",51.538841,-0.142834
"5",51.538862,-0.142764
"6",51.53888,-0.142696
"7",51.538908,-0.142632
"8",51.538938,-0.142578
"9",51.538967,-0.142529
"10",51.539,-0.142491
"11",51.539038,-0.142451
"12",51.539079,-0.14242
"13",51.539122,-0.1424
"14",51.539162,-0.142365
"15",51.539202,-0.142319
"16",51.539249,-0.142272
"17",51.539288,-0.142223
"18",51.539326,-0.142167
"19",51.539364,-0.142106
"20",51.539405,-0.142046
"21",51.539444,-0.141983
"22",51.539486,-0.141911
"23",51.539533,-0.141851
"24",51.539576,-0.141777
"25",51.539622,-0.141707
"26",51.53967,-0.141642
"27",51.539719,-0.141574
"28",51.539766,-0.141505
"29",51.539807,-0.141431
"30",51.539849,-0.141353
"31",51.53989,-0.141267
"32",51.539937,-0.141187
"33",51.539981,-0.141107
"34",51.540032,-0.141029
