"","latitude","longitude"
"1",51.540014,-0.122961
"2",51.539879,-0.122975
"3",51.539751,-0.122989
"4",51.539629,-0.123003
"5",51.539508,-0.123003
"6",51.539381,-0.123002
"7",51.539271,-0.123017
"8",51.539156,-0.123016
"9",51.539041,-0.123016
"10",51.534612,-0.123249
"11",51.534553,-0.123205
"12",51.534414,-0.123205
"13",51.534372,-0.123248
"14",51.534321,-0.123262
"15",51.534297,-0.123277
"16",51.534261,-0.123291
"17",51.534216,-0.123291
"18",51.534162,-0.12332
"19",51.53411,-0.123334
"20",51.534059,-0.123363
"21",51.534019,-0.123377
"22",51.533956,-0.123391
"23",51.533924,-0.123405
"24",51.53389,-0.123405
"25",51.533852,-0.123419
"26",51.533815,-0.123419
"27",51.533785,-0.123434
"28",51.53374,-0.123448
"29",51.533702,-0.123448
"30",51.533671,-0.123448
"31",51.533639,-0.123448
"32",51.533613,-0.123448
"33",51.533582,-0.123448
"34",51.533552,-0.123448
"35",51.533515,-0.123448
"36",51.533477,-0.123447
"37",51.533446,-0.123462
"38",51.533409,-0.123462
"39",51.533369,-0.123462
"40",51.533337,-0.123476
"41",51.533312,-0.123476
"42",51.533285,-0.123476
"43",51.53326,-0.123476
"44",51.53322,-0.123476
"45",51.533182,-0.123475
"46",51.53315,-0.123475
"47",51.533125,-0.123461
"48",51.5331,-0.123475
"49",51.533074,-0.123475
"50",51.533049,-0.123475
"51",51.533024,-0.123475
"52",51.533004,-0.123475
"53",51.532972,-0.123475
"54",51.532947,-0.123475
"55",51.532914,-0.123475
"56",51.532877,-0.123475
"57",51.532844,-0.123489
"58",51.532812,-0.123489
"59",51.53278,-0.123489
"60",51.532747,-0.12346
"61",51.532709,-0.12346
"62",51.532684,-0.12346
"63",51.532652,-0.12346
"64",51.53262,-0.123474
"65",51.532587,-0.123488
"66",51.532555,-0.123503
"67",51.532517,-0.123488
"68",51.532479,-0.123488
"69",51.532447,-0.123488
"70",51.532415,-0.123473
"71",51.532395,-0.123488
"72",51.532382,-0.123473
"73",51.532375,-0.123459
"74",51.532356,-0.123459
"75",51.53233,-0.123459
"76",51.532298,-0.123444
"77",51.532278,-0.123459
"78",51.532246,-0.123444
"79",51.532221,-0.123458
"80",51.532182,-0.123444
"81",51.532149,-0.123458
"82",51.53211,-0.123458
"83",51.53209,-0.123458
"84",51.532064,-0.123458
"85",51.532044,-0.123443
"86",51.532024,-0.123443
"87",51.531998,-0.123443
"88",51.531991,-0.123429
"89",51.531989,-0.123429
"90",51.531982,-0.123414
"91",51.531988,-0.123414
"92",51.531993,-0.1234
"93",51.531986,-0.1234
"94",51.531986,-0.1234
"95",51.531985,-0.1234
"96",51.531978,-0.1234
"97",51.531971,-0.123414
"98",51.531958,-0.123414
"99",51.531944,-0.123429
"100",51.531944,-0.123443
"101",51.531931,-0.123443
"102",51.531926,-0.123443
"103",51.531906,-0.123428
"104",51.531881,-0.123428
"105",51.531849,-0.123443
"106",51.531829,-0.123443
"107",51.531804,-0.123457
"108",51.531784,-0.123457
"109",51.53179,-0.123443
"110",51.531782,-0.123443
"111",51.531768,-0.123442
"112",51.531763,-0.123442
"113",51.531756,-0.123442
"114",51.531761,-0.123457
"115",51.531754,-0.123457
"116",51.531754,-0.123457
"117",51.531747,-0.123457
"118",51.53174,-0.123457
"119",51.53174,-0.123442
"120",51.531728,-0.123442
"121",51.531721,-0.123442
"122",51.531726,-0.123442
"123",51.531726,-0.123442
"124",51.531714,-0.123442
"125",51.531701,-0.123442
"126",51.531694,-0.123442
"127",51.531694,-0.123442
"128",51.531676,-0.123457
"129",51.531656,-0.123457
"130",51.531649,-0.123442
"131",51.531635,-0.123428
"132",51.531628,-0.123399
"133",51.531629,-0.123399
"134",51.531636,-0.123384
"135",51.531643,-0.123384
"136",51.531645,-0.123384
"137",51.531639,-0.123384
"138",51.531634,-0.12337
"139",51.531628,-0.12337
"140",51.531628,-0.12337
"141",51.531635,-0.12337
"142",51.531617,-0.123384
"143",51.531606,-0.123384
"144",51.531581,-0.123384
"145",51.531575,-0.123399
"146",51.531562,-0.123399
"147",51.53155,-0.123384
"148",51.531537,-0.123384
"149",51.531531,-0.123384
"150",51.531524,-0.123384
"151",51.531512,-0.123384
"152",51.531506,-0.123384
"153",51.531487,-0.123384
"154",51.531479,-0.123384
"155",51.53146,-0.123384
"156",51.531446,-0.123384
"157",51.53144,-0.12337
"158",51.531428,-0.123355
"159",51.531426,-0.123355
"160",51.531421,-0.123341
"161",51.531421,-0.123341
"162",51.531413,-0.123341
"163",51.531406,-0.123341
"164",51.531401,-0.123341
"165",51.531401,-0.123341
"166",51.531401,-0.123341
"167",51.531401,-0.123341
"168",51.531401,-0.123341
"169",51.531395,-0.123341
"170",51.531395,-0.123341
"171",51.531395,-0.123341
"172",51.53139,-0.123355
"173",51.53137,-0.123355
"174",51.531352,-0.123355
"175",51.531352,-0.123355
"176",51.531339,-0.123341
"177",51.531339,-0.123341
"178",51.531339,-0.123341
"179",51.531332,-0.123326
"180",51.53132,-0.123326
"181",51.53132,-0.123312
"182",51.531307,-0.123312
"183",51.531287,-0.123326
"184",51.53128,-0.123326
"185",51.531273,-0.123326
"186",51.531279,-0.123326
"187",51.531272,-0.123326
"188",51.531272,-0.123326
"189",51.531272,-0.123326
"190",51.531272,-0.123311
"191",51.531272,-0.123311
"192",51.531279,-0.123326
"193",51.531272,-0.123326
"194",51.531272,-0.123326
"195",51.531272,-0.123326
"196",51.531272,-0.12334
"197",51.531266,-0.12334
"198",51.531266,-0.123355
"199",51.53126,-0.123355
"200",51.531248,-0.123355
"201",51.531235,-0.123355
"202",51.531216,-0.123369
"203",51.531197,-0.123383
"204",51.531172,-0.123412
"205",51.531159,-0.123426
"206",51.531147,-0.123426
"207",51.531134,-0.123441
"208",51.531127,-0.123455
"209",51.531121,-0.123484
"210",51.531121,-0.123527
"211",51.531116,-0.123556
"212",51.531103,-0.12357
"213",51.531085,-0.123585
"214",51.531061,-0.123614
"215",51.531061,-0.123628
"216",51.531054,-0.123657
"217",51.531048,-0.123671
"218",51.531048,-0.1237
"219",51.531036,-0.123743
"220",51.531036,-0.123772
"221",51.531036,-0.123787
"222",51.53103,-0.123815
"223",51.53103,-0.123859
"224",51.53103,-0.123902
"225",51.53103,-0.123945
"226",51.531035,-0.123974
"227",51.531048,-0.123988
"228",51.531042,-0.124046
"229",51.531042,-0.124089
"230",51.531037,-0.124118
"231",51.531037,-0.124147
"232",51.531037,-0.124176
"233",51.531037,-0.12419
"234",51.53103,-0.124204
"235",51.531037,-0.124219
"236",51.531042,-0.124219
"237",51.531042,-0.124233
"238",51.531035,-0.124248
"239",51.531035,-0.124262
