"","latitude","longitude"
"1",51.532029,-0.1252709
"2",51.5320454,-0.1252268
"3",51.5320613,-0.1252731
"4",51.5320831,-0.1252989
"5",51.5321213,-0.125499
"6",51.5321045,-0.1256495
"7",51.5321446,-0.1256656
"8",51.5322703,-0.125656
"9",51.5315424,-0.1270877
"10",51.5315767,-0.1269897
"11",51.5315514,-0.1269596
"12",51.5315659,-0.1270081
"13",51.5315504,-0.1269486
"14",51.5315417,-0.1270935
"15",51.5316618,-0.1272464
"16",51.5316865,-0.1273485
"17",51.5316948,-0.1273974
"18",51.5316603,-0.1274323
"19",51.5315007,-0.1273185
"20",51.5312662,-0.1271103
"21",51.5310395,-0.1269232
"22",51.5308072,-0.1266549
"23",51.5305736,-0.1265013
"24",51.5302773,-0.1264314
"25",51.5300765,-0.1264361
"26",51.5299188,-0.1264371
"27",51.5298632,-0.1263814
"28",51.5299005,-0.1263284
"29",51.5299968,-0.126438
"30",51.5299336,-0.1264598
"31",51.5298896,-0.1264367
"32",51.5298072,-0.1263685
"33",51.5296848,-0.1263172
"34",51.5295716,-0.1263071
"35",51.5295221,-0.1263208
"36",51.529475,-0.1263036
"37",51.5294389,-0.1262906
"38",51.5294754,-0.1264003
"39",51.5294411,-0.1263022
"40",51.5294154,-0.1263264
"41",51.5293831,-0.126295
"42",51.5293115,-0.1263037
"43",51.5294035,-0.1262525
"44",51.5294313,-0.1262148
"45",51.5294446,-0.1261731
"46",51.529447,-0.1262203
"47",51.5294063,-0.1261732
"48",51.5291723,-0.1260196
"49",51.5289653,-0.125848
"50",51.5287562,-0.1256455
"51",51.5285848,-0.1254795
"52",51.5285107,-0.1254102
"53",51.5284607,-0.1253729
"54",51.5282454,-0.1252765
"55",51.527993,-0.1250631
"56",51.5277879,-0.1248661
"57",51.5274963,-0.1245874
"58",51.5272234,-0.1243088
"59",51.5270091,-0.1241454
"60",51.5267581,-0.1239355
