"","latitude","longitude"
"1",51.5317163,-0.1295749
"2",51.5316702,-0.1296899
"3",51.5316513,-0.1297986
"4",51.5315964,-0.1300213
"5",51.5315068,-0.130231
"6",51.5314432,-0.1304188
"7",51.5314391,-0.1304432
"8",51.5314046,-0.1305123
"9",51.5313746,-0.1305657
"10",51.5313708,-0.1305761
"11",51.5312937,-0.1307691
"12",51.5312307,-0.1309707
"13",51.5310631,-0.1312325
"14",51.5309653,-0.1314195
"15",51.530919,-0.1315747
"16",51.5308855,-0.131707
"17",51.5308634,-0.1317418
"18",51.5307867,-0.1318949
"19",51.5307013,-0.132108
"20",51.5306469,-0.1323252
"21",51.5306152,-0.1324844
"22",51.5305319,-0.1327186
"23",51.530509,-0.1328172
"24",51.5304885,-0.1328905
"25",51.5303358,-0.1331557
"26",51.5303214,-0.1331922
"27",51.5303129,-0.1332595
"28",51.5303201,-0.1333349
"29",51.5302249,-0.1335428
"30",51.530052,-0.1336413
"31",51.529934,-0.133481
"32",51.529897,-0.1334512
"33",51.5298531,-0.1335759
"34",51.5297139,-0.1335857
"35",51.5296764,-0.1335266
"36",51.5295811,-0.1334129
"37",51.5294843,-0.1332957
"38",51.5294017,-0.1331196
"39",51.5292377,-0.1329169
"40",51.5291997,-0.1328507
"41",51.5290912,-0.1327616
"42",51.5290175,-0.1327422
"43",51.52884,-0.1325437
"44",51.5287269,-0.1323935
"45",51.528558,-0.1322237
"46",51.5284993,-0.1322115
"47",51.5284383,-0.1321496
"48",51.5284193,-0.1321092
"49",51.5283279,-0.1321339
"50",51.5283265,-0.1321394
"51",51.5282885,-0.1323679
"52",51.5282835,-0.1323881
"53",51.5282633,-0.1326452
"54",51.5282818,-0.1329724
"55",51.5283718,-0.1332577
"56",51.5284756,-0.1335949
"57",51.5287056,-0.1338268
"58",51.5287425,-0.1339874
"59",51.5288168,-0.1341361
"60",51.5288528,-0.1342203
"61",51.5289232,-0.1342951
"62",51.5289689,-0.1343458
"63",51.5289672,-0.1346112
"64",51.5289772,-0.1346125
"65",51.5289007,-0.1344716
"66",51.5288849,-0.1343929
"67",51.528873,-0.1343783
"68",51.5288901,-0.1342706
"69",51.528948,-0.134135
"70",51.5289649,-0.1341091
"71",51.5291366,-0.1340362
"72",51.529387,-0.1342321
"73",51.5293713,-0.1342433
"74",51.5293953,-0.1341714
