"","latitude","longitude"
"1",51.5315246,-0.1251466
"2",51.5315666,-0.1250337
"3",51.5315589,-0.1249752
"4",51.5315589,-0.1249886
"5",51.5315589,-0.1249932
"6",51.5315132,-0.1249623
"7",51.5315361,-0.1249674
"8",51.5314903,-0.1249695
"9",51.5314598,-0.124967
"10",51.5314674,-0.1249657
"11",51.5313911,-0.1249566
"12",51.5313606,-0.1249585
"13",51.5313491,-0.1249847
"14",51.5313606,-0.1249946
"15",51.5313682,-0.1249912
"16",51.5312423,-0.1249597
"17",51.5311546,-0.1246754
"18",51.531044,-0.1245444
"19",51.5310401,-0.1244278
"20",51.5310554,-0.1242712
"21",51.531044,-0.1241833
"22",51.5309906,-0.1241602
"23",51.5309448,-0.1241453
"24",51.5308876,-0.1240765
"25",51.530838,-0.1240354
"26",51.5308075,-0.1239434
"27",51.5308075,-0.1238322
"28",51.5308113,-0.1237512
"29",51.5308189,-0.1236953
"30",51.5308265,-0.1236146
"31",51.5308227,-0.1235393
"32",51.5308227,-0.1234636
"33",51.5308151,-0.1233687
"34",51.5308151,-0.123297
"35",51.5308227,-0.1232138
"36",51.5308151,-0.123148
"37",51.5307998,-0.1230679
"38",51.5307998,-0.1229741
"39",51.5307769,-0.1228586
"40",51.5307884,-0.1227948
"41",51.5308036,-0.1227205
"42",51.5308075,-0.1226662
"43",51.5308075,-0.1225664
"44",51.5308265,-0.1225017
"45",51.5308189,-0.1223712
"46",51.5308113,-0.1222716
"47",51.5308189,-0.1221972
"48",51.5308265,-0.1220941
"49",51.5308456,-0.1220337
"50",51.530857,-0.1219629
"51",51.530857,-0.1218573
"52",51.530857,-0.1217752
"53",51.530838,-0.1216672
"54",51.5308189,-0.1215808
"55",51.5308189,-0.1214756
