"","latitude","longitude"
"1",51.5355819,-0.1270257
"2",51.5355813,-0.1270268
"3",51.5355813,-0.1270268
"4",51.5355807,-0.1270283
"5",51.5355805,-0.1270288
"6",51.5355802,-0.1270295
"7",51.5355794,-0.1270312
"8",51.5355793,-0.1270313
"9",51.5355787,-0.1270323
"10",51.5355782,-0.1270331
"11",51.5355666,-0.1270339
"12",51.5355534,-0.1270229
"13",51.5355391,-0.1270147
"14",51.5355256,-0.1270049
"15",51.5355089,-0.1270052
"16",51.5354939,-0.1270003
"17",51.5354808,-0.126992
"18",51.5354681,-0.1269793
"19",51.5354555,-0.1269613
"20",51.5354432,-0.1269443
"21",51.5354311,-0.1269348
"22",51.5354188,-0.1269257
"23",51.5354065,-0.126916
"24",51.5353936,-0.126907
"25",51.5353811,-0.1268984
"26",51.5353687,-0.1268901
"27",51.5353572,-0.1268811
"28",51.5353462,-0.1268719
"29",51.5353356,-0.1268624
"30",51.5353246,-0.1268534
"31",51.5353131,-0.1268446
"32",51.5353012,-0.126837
"33",51.5352891,-0.1268283
"34",51.5352762,-0.1268208
"35",51.5352645,-0.1268125
"36",51.535253,-0.1268036
"37",51.5352415,-0.1267961
"38",51.535229,-0.1267893
"39",51.5352162,-0.1267841
"40",51.535203,-0.1267787
"41",51.53519,-0.1267734
"42",51.5351765,-0.1267668
"43",51.535163,-0.1267593
"44",51.5351498,-0.1267509
"45",51.5351374,-0.1267426
"46",51.5351246,-0.1267345
"47",51.5351121,-0.1267259
"48",51.5350998,-0.126719
"49",51.5350882,-0.12671
"50",51.5350768,-0.1267004
"51",51.5350667,-0.126688
"52",51.5350573,-0.1266738
"53",51.5350484,-0.1266604
"54",51.5350386,-0.1266482
"55",51.5350278,-0.1266375
"56",51.5350171,-0.1266276
"57",51.5350067,-0.1266169
"58",51.5349979,-0.1266046
"59",51.5349909,-0.12659
"60",51.5349819,-0.1265761
"61",51.5349723,-0.1265615
"62",51.5349631,-0.1265466
"63",51.5349548,-0.1265312
