"","latitude","longitude"
"1",51.5345968,-0.1234102
"2",51.5340016,-0.1231939
"3",51.5336318,-0.1232154
"4",51.5333145,-0.1232309
"5",51.5330644,-0.1232795
"6",51.5330162,-0.1233255
"7",51.5330526,-0.1234159
"8",51.5330615,-0.1234866
"9",51.5330734,-0.1237059
"10",51.5330803,-0.1238637
"11",51.5330362,-0.1240104
"12",51.5329581,-0.1240233
"13",51.5328693,-0.1238963
"14",51.5327774,-0.12383
"15",51.5326858,-0.1238261
"16",51.5326063,-0.1238653
"17",51.5325175,-0.1238629
"18",51.5324225,-0.1238726
"19",51.5323344,-0.1238481
"20",51.5322552,-0.123837
"21",51.5321775,-0.1238722
"22",51.5320913,-0.1239088
"23",51.5319893,-0.1239152
"24",51.5318804,-0.1238889
"25",51.5317848,-0.1239008
"26",51.5316975,-0.1239086
"27",51.5315617,-0.1239283
"28",51.5314813,-0.1239735
"29",51.5313942,-0.1239505
"30",51.5313237,-0.1239587
"31",51.5312401,-0.1239639
"32",51.5311761,-0.123925
"33",51.5311671,-0.1238981
