"","latitude","longitude"
"1",51.53974,-0.125853
"2",51.539431,-0.127099
"3",51.539348,-0.127362
"4",51.538903,-0.128207
"5",51.538422,-0.128728
"6",51.53789,-0.129019
"7",51.537319,-0.129109
"8",51.53632,-0.129086
"9",51.53572,-0.128978
"10",51.53512,-0.128678
"11",51.534563,-0.128264
"12",51.534095,-0.127923
"13",51.533857,-0.127747
"14",51.533753,-0.127701
"15",51.533703,-0.127611
"16",51.533746,-0.127549
"17",51.533795,-0.127485
"18",51.533785,-0.127437
"19",51.533835,-0.127465
"20",51.533877,-0.127499
"21",51.533951,-0.127551
"22",51.533867,-0.1276
"23",51.533829,-0.127539
"24",51.533823,-0.127509
"25",51.533811,-0.127489
"26",51.533804,-0.127452
"27",51.533768,-0.127461
"28",51.533703,-0.127556
"29",51.533577,-0.127435
"30",51.533524,-0.127409
"31",51.533406,-0.127341
"32",51.533297,-0.127297
"33",51.533091,-0.127181
"34",51.533003,-0.127039
"35",51.532807,-0.126882
"36",51.532642,-0.126776
"37",51.532552,-0.126685
"38",51.532377,-0.126564
"39",51.532237,-0.126475
"40",51.53218,-0.126357
"41",51.532117,-0.126291
"42",51.532052,-0.126216
"43",51.532019,-0.126138
"44",51.531959,-0.126076
"45",51.531809,-0.126085
"46",51.531634,-0.126103
"47",51.531513,-0.12613
"48",51.531319,-0.126095
"49",51.531189,-0.126029
"50",51.530983,-0.126026
"51",51.530834,-0.125942
"52",51.530581,-0.125778
"53",51.530489,-0.125684
