"","latitude","longitude"
"1",51.5266702,-0.1333305
"2",51.5267787,-0.1332921
"3",51.5268585,-0.133131
"4",51.5270041,-0.1330512
"5",51.5271046,-0.1328716
"6",51.5271765,-0.13287
"7",51.5275319,-0.1332724
"8",51.5275538,-0.1332746
"9",51.5276128,-0.1332539
"10",51.5276329,-0.1332404
"11",51.5276505,-0.1332244
"12",51.5277061,-0.1330992
"13",51.5277505,-0.1329619
"14",51.5277115,-0.1329922
"15",51.5277624,-0.1330865
"16",51.5277859,-0.1331974
"17",51.5278805,-0.1333486
"18",51.5277896,-0.1334483
"19",51.5277687,-0.1331844
"20",51.5278862,-0.1331906
"21",51.5278753,-0.1332135
"22",51.5277937,-0.1332869
"23",51.5278727,-0.1331848
"24",51.5278393,-0.1331628
"25",51.5277642,-0.133301
"26",51.5276404,-0.1334254
"27",51.5275983,-0.1334783
"28",51.5275935,-0.1334321
"29",51.5276007,-0.133386
"30",51.5276174,-0.133334
"31",51.5276373,-0.1333268
"32",51.5276478,-0.1333025
"33",51.5276386,-0.1334321
"34",51.5276322,-0.1333933
"35",51.5274292,-0.1332955
"36",51.5273552,-0.1334858
"37",51.5272654,-0.1336348
"38",51.5272324,-0.133576
"39",51.5270916,-0.1335089
"40",51.5269322,-0.1335894
"41",51.5268235,-0.1336224
"42",51.5266036,-0.1337311
"43",51.5266702,-0.1333305
"44",51.5267787,-0.1332921
"45",51.5268585,-0.133131
"46",51.5270041,-0.1330512
"47",51.5271046,-0.1328716
"48",51.5271765,-0.13287
"49",51.5275319,-0.1332724
"50",51.5275538,-0.1332746
"51",51.5276128,-0.1332539
"52",51.5276329,-0.1332404
"53",51.5276505,-0.1332244
"54",51.5277061,-0.1330992
"55",51.5277505,-0.1329619
"56",51.5277115,-0.1329922
"57",51.5277624,-0.1330865
"58",51.5277859,-0.1331974
"59",51.5278805,-0.1333486
"60",51.5277896,-0.1334483
"61",51.5277687,-0.1331844
"62",51.5278862,-0.1331906
"63",51.5278753,-0.1332135
"64",51.5277937,-0.1332869
"65",51.5278727,-0.1331848
"66",51.5278393,-0.1331628
"67",51.5277642,-0.133301
"68",51.5276404,-0.1334254
"69",51.5275983,-0.1334783
"70",51.5275935,-0.1334321
"71",51.5276007,-0.133386
"72",51.5276174,-0.133334
"73",51.5276373,-0.1333268
"74",51.5276478,-0.1333025
"75",51.5276386,-0.1334321
"76",51.5276322,-0.1333933
"77",51.5274292,-0.1332955
"78",51.5273552,-0.1334858
"79",51.5272654,-0.1336348
"80",51.5272324,-0.133576
"81",51.5270916,-0.1335089
"82",51.5269322,-0.1335894
"83",51.5268235,-0.1336224
"84",51.5266036,-0.1337311
"85",51.5266702,-0.1333305
"86",51.5267787,-0.1332921
"87",51.5268585,-0.133131
"88",51.5270041,-0.1330512
"89",51.5271046,-0.1328716
"90",51.5271765,-0.13287
"91",51.5275319,-0.1332724
"92",51.5275538,-0.1332746
"93",51.5276128,-0.1332539
"94",51.5276329,-0.1332404
"95",51.5276505,-0.1332244
"96",51.5277061,-0.1330992
"97",51.5277505,-0.1329619
"98",51.5277115,-0.1329922
"99",51.5277624,-0.1330865
"100",51.5277859,-0.1331974
"101",51.5278805,-0.1333486
"102",51.5277896,-0.1334483
"103",51.5277687,-0.1331844
"104",51.5278862,-0.1331906
"105",51.5278753,-0.1332135
"106",51.5277937,-0.1332869
"107",51.5278727,-0.1331848
"108",51.5278393,-0.1331628
"109",51.5277642,-0.133301
"110",51.5276404,-0.1334254
"111",51.5275983,-0.1334783
"112",51.5275935,-0.1334321
"113",51.5276007,-0.133386
"114",51.5276174,-0.133334
"115",51.5276373,-0.1333268
"116",51.5276478,-0.1333025
"117",51.5276386,-0.1334321
"118",51.5276322,-0.1333933
"119",51.5274292,-0.1332955
"120",51.5273552,-0.1334858
"121",51.5272654,-0.1336348
"122",51.5272324,-0.133576
"123",51.5270916,-0.1335089
"124",51.5269322,-0.1335894
"125",51.5268235,-0.1336224
"126",51.5266036,-0.1337311
"127",51.5266702,-0.1333305
"128",51.5267787,-0.1332921
"129",51.5268585,-0.133131
"130",51.5270041,-0.1330512
"131",51.5271046,-0.1328716
"132",51.5271765,-0.13287
"133",51.5275319,-0.1332724
"134",51.5275538,-0.1332746
"135",51.5276128,-0.1332539
"136",51.5276329,-0.1332404
"137",51.5276505,-0.1332244
"138",51.5277061,-0.1330992
"139",51.5277505,-0.1329619
"140",51.5277115,-0.1329922
"141",51.5277624,-0.1330865
"142",51.5277859,-0.1331974
"143",51.5278805,-0.1333486
"144",51.5277896,-0.1334483
"145",51.5277687,-0.1331844
"146",51.5278862,-0.1331906
"147",51.5278753,-0.1332135
"148",51.5277937,-0.1332869
"149",51.5278727,-0.1331848
"150",51.5278393,-0.1331628
"151",51.5277642,-0.133301
"152",51.5276404,-0.1334254
"153",51.5275983,-0.1334783
"154",51.5275935,-0.1334321
"155",51.5276007,-0.133386
"156",51.5276174,-0.133334
"157",51.5276373,-0.1333268
"158",51.5276478,-0.1333025
"159",51.5276386,-0.1334321
"160",51.5276322,-0.1333933
"161",51.5274292,-0.1332955
"162",51.5273552,-0.1334858
"163",51.5272654,-0.1336348
"164",51.5272324,-0.133576
"165",51.5270916,-0.1335089
"166",51.5269322,-0.1335894
"167",51.5268235,-0.1336224
"168",51.5266036,-0.1337311
"169",51.5266702,-0.1333305
"170",51.5267787,-0.1332921
"171",51.5268585,-0.133131
"172",51.5270041,-0.1330512
"173",51.5271046,-0.1328716
"174",51.5271765,-0.13287
"175",51.5275319,-0.1332724
"176",51.5275538,-0.1332746
"177",51.5276128,-0.1332539
"178",51.5276329,-0.1332404
"179",51.5276505,-0.1332244
"180",51.5277061,-0.1330992
"181",51.5277505,-0.1329619
"182",51.5277115,-0.1329922
"183",51.5277624,-0.1330865
"184",51.5277859,-0.1331974
"185",51.5278805,-0.1333486
"186",51.5277896,-0.1334483
"187",51.5277687,-0.1331844
"188",51.5278862,-0.1331906
"189",51.5278753,-0.1332135
"190",51.5277937,-0.1332869
"191",51.5278727,-0.1331848
"192",51.5278393,-0.1331628
"193",51.5277642,-0.133301
"194",51.5276404,-0.1334254
"195",51.5275983,-0.1334783
"196",51.5275935,-0.1334321
"197",51.5276007,-0.133386
"198",51.5276174,-0.133334
"199",51.5276373,-0.1333268
"200",51.5276478,-0.1333025
"201",51.5276386,-0.1334321
"202",51.5276322,-0.1333933
"203",51.5274292,-0.1332955
"204",51.5273552,-0.1334858
"205",51.5272654,-0.1336348
"206",51.5272324,-0.133576
"207",51.5270916,-0.1335089
"208",51.5269322,-0.1335894
"209",51.5268235,-0.1336224
"210",51.5266036,-0.1337311
"211",51.5266702,-0.1333305
"212",51.5267787,-0.1332921
"213",51.5268585,-0.133131
"214",51.5270041,-0.1330512
"215",51.5271046,-0.1328716
"216",51.5271765,-0.13287
"217",51.5275319,-0.1332724
"218",51.5275538,-0.1332746
"219",51.5276128,-0.1332539
"220",51.5276329,-0.1332404
"221",51.5276505,-0.1332244
"222",51.5277061,-0.1330992
"223",51.5277505,-0.1329619
"224",51.5277115,-0.1329922
"225",51.5277624,-0.1330865
"226",51.5277859,-0.1331974
"227",51.5278805,-0.1333486
"228",51.5277896,-0.1334483
"229",51.5277687,-0.1331844
"230",51.5278862,-0.1331906
"231",51.5278753,-0.1332135
"232",51.5277937,-0.1332869
"233",51.5278727,-0.1331848
"234",51.5278393,-0.1331628
"235",51.5277642,-0.133301
"236",51.5276404,-0.1334254
"237",51.5275983,-0.1334783
"238",51.5275935,-0.1334321
"239",51.5276007,-0.133386
"240",51.5276174,-0.133334
"241",51.5276373,-0.1333268
"242",51.5276478,-0.1333025
"243",51.5276386,-0.1334321
"244",51.5276322,-0.1333933
"245",51.5274292,-0.1332955
"246",51.5273552,-0.1334858
"247",51.5272654,-0.1336348
"248",51.5272324,-0.133576
"249",51.5270916,-0.1335089
"250",51.5269322,-0.1335894
"251",51.5268235,-0.1336224
"252",51.5266036,-0.1337311
"253",51.527995,-0.1332054
"254",51.5333781,-0.1276272
"255",51.5336035,-0.1277647
"256",51.5336384,-0.1276555
"257",51.5335009,-0.1274921
"258",51.5333833,-0.1278391
"259",51.533468,-0.127503
"260",51.5336232,-0.1273211
"261",51.5335946,-0.1272264
"262",51.5335608,-0.1272134
"263",51.5334279,-0.1270979
"264",51.5332957,-0.12719
"265",51.5331619,-0.1269807
"266",51.5333593,-0.127059
"267",51.5332581,-0.1271753
"268",51.5332426,-0.1271945
"269",51.5332691,-0.127172
"270",51.5332735,-0.1271737
"271",51.5333071,-0.1271278
"272",51.533383,-0.1270459
"273",51.5332286,-0.1271727
"274",51.5332336,-0.1273251
"275",51.5332238,-0.1271312
"276",51.5332808,-0.1270376
"277",51.5333303,-0.1270531
"278",51.5333356,-0.1270552
"279",51.5333496,-0.1270744
"280",51.5335945,-0.1271683
"281",51.5337941,-0.1272994
"282",51.5354243,-0.1284271
"283",51.536833,-0.1288674
"284",51.5378299,-0.1289011
"285",51.5388897,-0.1281276
"286",51.5331487,-0.1273899
"287",51.5332207,-0.1269787
"288",51.5332082,-0.1267636
"289",51.5331723,-0.1267013
"290",51.5330399,-0.1266589
"291",51.5329238,-0.1266348
"292",51.5328715,-0.1266754
"293",51.5328301,-0.1267086
"294",51.5327999,-0.1265921
"295",51.5327783,-0.1265056
"296",51.5327603,-0.1264891
"297",51.5320499,-0.1260135
"298",51.5320173,-0.1259564
"299",51.5320253,-0.1257084
"300",51.5321072,-0.1254175
"301",51.5321035,-0.1254016
"302",51.5320461,-0.1251243
"303",51.5320274,-0.1249677
"304",51.5319721,-0.1249262
"305",51.5318334,-0.1248651
"306",51.5317903,-0.1248376
"307",51.5316377,-0.1246246
"308",51.531618,-0.1245965
"309",51.5315402,-0.1243711
"310",51.5319006,-0.1242664
"311",51.5319905,-0.1242359
"312",51.5320602,-0.124219
"313",51.53215,-0.1242433
"314",51.5321515,-0.1242442
"315",51.5373237,-0.1430373
"316",51.537309,-0.143022
"317",51.5372944,-0.1430101
"318",51.5372741,-0.1429998
"319",51.5372572,-0.142981
"320",51.5372384,-0.1429463
"321",51.5372216,-0.1429186
"322",51.5372024,-0.1428994
"323",51.5371824,-0.1428814
"324",51.5371604,-0.142865
"325",51.5371421,-0.1428498
"326",51.5371322,-0.1428334
"327",51.5371208,-0.1428103
"328",51.5371088,-0.1427836
"329",51.5371075,-0.1427639
"330",51.5371043,-0.1427529
"331",51.5370995,-0.1427492
"332",51.5370973,-0.1427445
"333",51.5370984,-0.1427379
"334",51.5370915,-0.1427328
"335",51.5370892,-0.1427165
"336",51.5370943,-0.1426861
"337",51.5370927,-0.1426555
"338",51.5370845,-0.1426373
"339",51.5370667,-0.1426334
"340",51.5370488,-0.1426314
"341",51.5370294,-0.1426343
"342",51.5370096,-0.1426292
"343",51.5369951,-0.1426141
"344",51.5369885,-0.1425924
"345",51.5369801,-0.1425744
"346",51.5369763,-0.1425815
"347",51.536965,-0.1425976
"348",51.5369546,-0.1426002
"349",51.5369467,-0.142611
"350",51.5369387,-0.1426172
"351",51.5369321,-0.1426203
"352",51.536927,-0.1426217
"353",51.5369208,-0.1426177
"354",51.5369135,-0.1426082
"355",51.5369032,-0.1425968
"356",51.536885,-0.1425757
"357",51.5368747,-0.1425643
"358",51.5368599,-0.1425472
"359",51.5368488,-0.142539
"360",51.5368396,-0.1425307
"361",51.536831,-0.1425201
"362",51.5368249,-0.1425137
"363",51.5368192,-0.1425077
"364",51.5368162,-0.1425043
"365",51.5368162,-0.1425043
"366",51.5368083,-0.1425002
"367",51.5367971,-0.1424982
"368",51.5367786,-0.1424929
"369",51.5367786,-0.1424929
"370",51.5367786,-0.1424929
"371",51.5367786,-0.1424929
"372",51.5367744,-0.1424904
"373",51.5367731,-0.1424892
"374",51.5367757,-0.1424854
"375",51.5367757,-0.1424854
"376",51.536777,-0.1424725
"377",51.5367678,-0.1424618
"378",51.5367581,-0.1424505
"379",51.5367465,-0.1424361
"380",51.5367338,-0.1424211
"381",51.5367285,-0.1424091
"382",51.536725,-0.1423987
"383",51.5367165,-0.1423873
"384",51.5367049,-0.1423746
"385",51.5366911,-0.1423643
"386",51.5366779,-0.1423593
"387",51.5366662,-0.1423552
"388",51.5366548,-0.142351
"389",51.5366419,-0.1423477
"390",51.5366289,-0.1423423
"391",51.5366173,-0.1423447
"392",51.5366059,-0.1423388
"393",51.5365935,-0.1423292
"394",51.5365819,-0.1423144
"395",51.5365723,-0.1423039
"396",51.5365604,-0.1422924
"397",51.536549,-0.1422755
"398",51.5365405,-0.1422603
"399",51.5365299,-0.1422454
"400",51.5365226,-0.1422338
"401",51.5365129,-0.1422223
"402",51.5365062,-0.142217
"403",51.5364996,-0.1422116
"404",51.5364951,-0.1422091
"405",51.5364883,-0.1422047
"406",51.5364767,-0.1421966
"407",51.5364654,-0.1421904
"408",51.5364523,-0.142184
"409",51.5364382,-0.1421731
"410",51.5364227,-0.1421592
"411",51.5364106,-0.1421443
"412",51.5364013,-0.142128
"413",51.5363932,-0.1421215
