"","latitude","longitude"
"1",51.529033,-0.126651
"2",51.529021,-0.12667
"3",51.52901,-0.126682
"4",51.529002,-0.126698
"5",51.52899,-0.1267
"6",51.52898,-0.126715
"7",51.528975,-0.126746
"8",51.528971,-0.126781
"9",51.528966,-0.126804
"10",51.52896,-0.126826
"11",51.528956,-0.126855
"12",51.528952,-0.126877
"13",51.528953,-0.126908
"14",51.528954,-0.126937
"15",51.528945,-0.126957
"16",51.528939,-0.126974
"17",51.528935,-0.126995
"18",51.528928,-0.127017
"19",51.528916,-0.127039
"20",51.52891,-0.127061
"21",51.528907,-0.127087
"22",51.528909,-0.127112
"23",51.528906,-0.127128
"24",51.528906,-0.12714
"25",51.528906,-0.12715
"26",51.528902,-0.127161
"27",51.528896,-0.127184
"28",51.52889,-0.127204
"29",51.528874,-0.127235
"30",51.528852,-0.127249
"31",51.528839,-0.127266
"32",51.528834,-0.127292
"33",51.528825,-0.127319
"34",51.528823,-0.127335
"35",51.528812,-0.12735
"36",51.528805,-0.127369
"37",51.528794,-0.127383
"38",51.528781,-0.127417
"39",51.528769,-0.127457
"40",51.528757,-0.12748
"41",51.528744,-0.127501
"42",51.528736,-0.127533
"43",51.528733,-0.12756
"44",51.52873,-0.127581
"45",51.528726,-0.127601
"46",51.528723,-0.127619
"47",51.528721,-0.127631
"48",51.528722,-0.127639
"49",51.528718,-0.127644
"50",51.528722,-0.12765
"51",51.528724,-0.127654
"52",51.528724,-0.127662
"53",51.528716,-0.127666
"54",51.528709,-0.127671
"55",51.528701,-0.127675
"56",51.52869,-0.127677
"57",51.528674,-0.127691
"58",51.52866,-0.127703
"59",51.528651,-0.127722
"60",51.528643,-0.127737
"61",51.528629,-0.127753
"62",51.528611,-0.127771
"63",51.528599,-0.12779
"64",51.528586,-0.127811
"65",51.528575,-0.12783
"66",51.528564,-0.127849
"67",51.528546,-0.127852
"68",51.528533,-0.127864
"69",51.528522,-0.127879
"70",51.528507,-0.127891
"71",51.528498,-0.12791
"72",51.528492,-0.127934
"73",51.528485,-0.127962
"74",51.528477,-0.127987
"75",51.52847,-0.128011
"76",51.52846,-0.128022
"77",51.528453,-0.128035
"78",51.528443,-0.128044
"79",51.528435,-0.128064
"80",51.52843,-0.128086
"81",51.528425,-0.128109
"82",51.528413,-0.128118
"83",51.528398,-0.128122
"84",51.528384,-0.12812
"85",51.528373,-0.128124
"86",51.528361,-0.128138
"87",51.528349,-0.128158
"88",51.528348,-0.128201
"89",51.52835,-0.128255
"90",51.528342,-0.128286
"91",51.52834,-0.128319
"92",51.528329,-0.128346
"93",51.528311,-0.128359
"94",51.528302,-0.128383
"95",51.528292,-0.128387
"96",51.528285,-0.128399
"97",51.528272,-0.128405
"98",51.528265,-0.128421
"99",51.52827,-0.128444
"100",51.528275,-0.128466
"101",51.528277,-0.128484
"102",51.528278,-0.128487
"103",51.528275,-0.128499
"104",51.528262,-0.128506
"105",51.528248,-0.128519
"106",51.528229,-0.128528
"107",51.528215,-0.128532
"108",51.528205,-0.128536
"109",51.528194,-0.128542
"110",51.528179,-0.128553
"111",51.528159,-0.128568
"112",51.528144,-0.128593
"113",51.528135,-0.128603
"114",51.528121,-0.128622
"115",51.528106,-0.128642
"116",51.528092,-0.128642
"117",51.528077,-0.128644
"118",51.528063,-0.128643
"119",51.528052,-0.128648
"120",51.528039,-0.128659
"121",51.528024,-0.128673
"122",51.528014,-0.128688
"123",51.528005,-0.128707
"124",51.527994,-0.128729
"125",51.527982,-0.12875
"126",51.52797,-0.128769
"127",51.527962,-0.128785
"128",51.527954,-0.128799
"129",51.527945,-0.128806
"130",51.52793,-0.128838
"131",51.527919,-0.128853
"132",51.527916,-0.128864
"133",51.527915,-0.128877
"134",51.527907,-0.128897
"135",51.527901,-0.128915
"136",51.527891,-0.128937
"137",51.527892,-0.128956
"138",51.527891,-0.128973
"139",51.527878,-0.128995
"140",51.527864,-0.129011
"141",51.52785,-0.129029
"142",51.52783,-0.129066
"143",51.527818,-0.129094
"144",51.527807,-0.129124
"145",51.52779,-0.129164
"146",51.527779,-0.129201
"147",51.527771,-0.129234
"148",51.527764,-0.129269
"149",51.52776,-0.129297
"150",51.527758,-0.129326
"151",51.527759,-0.129349
"152",51.52776,-0.129362
"153",51.527765,-0.129379
"154",51.527763,-0.12941
"155",51.527762,-0.129438
"156",51.527769,-0.129455
"157",51.52777,-0.129473
"158",51.527766,-0.129489
"159",51.527762,-0.129502
"160",51.527761,-0.129512
"161",51.527758,-0.129509
"162",51.527748,-0.129506
"163",51.527743,-0.129496
"164",51.527736,-0.129483
"165",51.52773,-0.129477
"166",51.527732,-0.129476
"167",51.527734,-0.129477
"168",51.527738,-0.12948
"169",51.52775,-0.129479
"170",51.527758,-0.129477
"171",51.527766,-0.129482
"172",51.527768,-0.129487
"173",51.527772,-0.129488
"174",51.527779,-0.129493
"175",51.527787,-0.129499
"176",51.527794,-0.129505
"177",51.527804,-0.129506
"178",51.527808,-0.129506
"179",51.527815,-0.129509
"180",51.527819,-0.129509
"181",51.527819,-0.129508
"182",51.527822,-0.129509
"183",51.527825,-0.12951
"184",51.527832,-0.129511
"185",51.527842,-0.129512
"186",51.527859,-0.129522
"187",51.527877,-0.129524
"188",51.527892,-0.12953
"189",51.527885,-0.129521
"190",51.527873,-0.12951
"191",51.52787,-0.129509
"192",51.52787,-0.129516
"193",51.52787,-0.129523
"194",51.52787,-0.12953
"195",51.527869,-0.129536
"196",51.527868,-0.129541
"197",51.527867,-0.129546
"198",51.527866,-0.12955
"199",51.527865,-0.129553
"200",51.527863,-0.129556
"201",51.527859,-0.129552
"202",51.52785,-0.129541
"203",51.527837,-0.129517
"204",51.527823,-0.129493
"205",51.527807,-0.129483
"206",51.527789,-0.129476
"207",51.527773,-0.129468
"208",51.527754,-0.129466
"209",51.527742,-0.129472
"210",51.527732,-0.129466
"211",51.52772,-0.129464
"212",51.527706,-0.129459
"213",51.527692,-0.129459
"214",51.527678,-0.129447
"215",51.527663,-0.129437
"216",51.52765,-0.129421
"217",51.527635,-0.129401
"218",51.527619,-0.129382
"219",51.527607,-0.129378
"220",51.527603,-0.129374
"221",51.527603,-0.129376
"222",51.527605,-0.12938
"223",51.527601,-0.129401
"224",51.527592,-0.129388
"225",51.527582,-0.129379
"226",51.527569,-0.129367
"227",51.527551,-0.129344
"228",51.527533,-0.129317
"229",51.527517,-0.129302
"230",51.527495,-0.129283
"231",51.527477,-0.129264
