"","latitude","longitude"
"1",51.5400302,-0.135253
"2",51.5399444,-0.1352477
"3",51.5399014,-0.1350706
"4",51.5398746,-0.1349204
"5",51.5397995,-0.1348078
"6",51.5397459,-0.1346737
"7",51.5397191,-0.1345986
"8",51.5396815,-0.1345288
"9",51.5396386,-0.1344645
"10",51.5395635,-0.1343679
"11",51.5395206,-0.1343035
"12",51.5394777,-0.1342445
"13",51.539424,-0.1341211
"14",51.5393382,-0.1340192
"15",51.5392738,-0.1338958
"16",51.5392041,-0.1338797
"17",51.5391504,-0.1338207
"18",51.5391021,-0.1337617
"19",51.5390592,-0.1337188
"20",51.5390163,-0.1336705
"21",51.538968,-0.1336169
"22",51.5389305,-0.1335686
"23",51.5389037,-0.1334989
"24",51.5388554,-0.1334559
"25",51.5388178,-0.1334077
"26",51.5387749,-0.1333755
"27",51.5387481,-0.1333111
"28",51.538732,-0.133236
"29",51.5387159,-0.1331609
"30",51.5386891,-0.1331019
"31",51.5386408,-0.1330643
"32",51.5385228,-0.1330268
"33",51.5384799,-0.1329731
"34",51.5384423,-0.1329034
"35",51.5384048,-0.1328444
"36",51.5383672,-0.1327908
"37",51.5383297,-0.1327317
"38",51.5382814,-0.1326888
"39",51.5382438,-0.1326245
"40",51.5382009,-0.1325708
"41",51.5381526,-0.1325172
"42",51.5380722,-0.1323938
"43",51.5380239,-0.1322275
"44",51.537922,-0.1320397
"45",51.5378683,-0.1318788
"46",51.5378147,-0.1317393
"47",51.5377342,-0.1316857
"48",51.5376806,-0.1315945
"49",51.5376377,-0.1315462
"50",51.5376001,-0.1314926
"51",51.5375679,-0.1314175
"52",51.5375411,-0.1313585
"53",51.5375196,-0.1312834
"54",51.5374875,-0.1312083
"55",51.5374499,-0.1311439
"56",51.5374284,-0.1310795
"57",51.5374177,-0.130999
"58",51.5373963,-0.1308542
"59",51.5373265,-0.1307469
"60",51.5372675,-0.1306396
"61",51.5372192,-0.1304948
"62",51.5372246,-0.1303929
"63",51.5372139,-0.1303124
"64",51.5372139,-0.1301568
"65",51.5371978,-0.1299691
"66",51.5371817,-0.1297599
"67",51.5371495,-0.129615
"68",51.5370851,-0.1293683
"69",51.5370154,-0.1291376
"70",51.5369778,-0.1290303
"71",51.536951,-0.1289391
"72",51.5368705,-0.1288372
"73",51.536833,-0.1287621
"74",51.5367633,-0.1286172
"75",51.5366882,-0.1284992
"76",51.5366077,-0.1284885
"77",51.5365648,-0.1284295
"78",51.5365487,-0.1283544
"79",51.5365487,-0.1282578
"80",51.5365326,-0.1281881
"81",51.5365058,-0.1281183
"82",51.5364736,-0.1280647
"83",51.5364253,-0.1280272
"84",51.5363878,-0.1279842
"85",51.5363502,-0.1279413
"86",51.5363073,-0.127893
"87",51.5362644,-0.1278501
"88",51.5362215,-0.1277965
"89",51.5361678,-0.1277375
"90",51.5361303,-0.1276785
"91",51.5374284,-0.1309239
