"","latitude","longitude"
"1",51.5396194,-0.1416272
"2",51.5393581,-0.1416009
"3",51.5391181,-0.1413333
"4",51.5390234,-0.1412173
"5",51.5390277,-0.1412186
"6",51.5390489,-0.1412416
"7",51.5390833,-0.1413352
"8",51.5391238,-0.141378
"9",51.5392611,-0.1413972
"10",51.5392539,-0.1415017
"11",51.5392385,-0.1415355
"12",51.5391742,-0.1415917
"13",51.5390986,-0.1417494
"14",51.5390611,-0.1417964
"15",51.5390572,-0.1418292
"16",51.5390612,-0.1418977
"17",51.5390674,-0.1420262
"18",51.5390597,-0.142052
"19",51.5391116,-0.1423409
"20",51.5390876,-0.1425412
"21",51.5390629,-0.1425727
"22",51.5390488,-0.1425931
"23",51.5390342,-0.1426144
"24",51.5391353,-0.1428052
"25",51.5392173,-0.1429346
"26",51.5392712,-0.1430033
