"","latitude","longitude"
"1",51.5379475,-0.1322878
"2",51.5379482,-0.1322866
"3",51.5379488,-0.1322853
"4",51.5379494,-0.1322837
"5",51.5379494,-0.1322839
"6",51.5379491,-0.132285
"7",51.537949,-0.1322858
"8",51.5379488,-0.1322862
"9",51.5379466,-0.1322814
"10",51.5379426,-0.1322719
"11",51.5379371,-0.1322585
"12",51.5379306,-0.1322396
"13",51.5379229,-0.132219
"14",51.537915,-0.1321982
"15",51.5379057,-0.1321762
"16",51.5378959,-0.1321535
"17",51.5378877,-0.132132
"18",51.5378798,-0.1321089
"19",51.5378716,-0.1320868
"20",51.5378634,-0.132066
"21",51.5378549,-0.1320474
"22",51.5378479,-0.1320299
"23",51.5378407,-0.1320117
"24",51.5378328,-0.1319953
"25",51.5378247,-0.1319833
"26",51.5378166,-0.1319721
"27",51.5378094,-0.1319588
"28",51.537804,-0.1319417
"29",51.5378003,-0.1319226
"30",51.537797,-0.1319045
"31",51.5377938,-0.1318869
"32",51.5377909,-0.1318686
"33",51.5377904,-0.1318485
"34",51.5377886,-0.1318298
"35",51.5377821,-0.1318126
"36",51.5377722,-0.1317993
"37",51.537762,-0.1317898
"38",51.5377524,-0.1317761
"39",51.5377444,-0.1317591
"40",51.5377369,-0.1317399
"41",51.5377313,-0.1317191
"42",51.5377236,-0.1316979
"43",51.5377153,-0.1316764
"44",51.5377043,-0.1316562
"45",51.537695,-0.1316358
"46",51.5376867,-0.1316125
"47",51.5376791,-0.1315852
"48",51.5376733,-0.1315574
"49",51.5376669,-0.1315303
"50",51.5376613,-0.1315036
"51",51.5376544,-0.1314747
"52",51.5376477,-0.1314487
"53",51.5376444,-0.1314267
"54",51.5376435,-0.1314046
"55",51.5376424,-0.1313781
"56",51.5376494,-0.1313523
"57",51.5376573,-0.1313268
"58",51.5376635,-0.1313003
"59",51.537666,-0.1312776
"60",51.5376639,-0.131257
"61",51.5376602,-0.131237
"62",51.537655,-0.1312186
"63",51.5376508,-0.1311987
"64",51.5376481,-0.1311768
"65",51.5376452,-0.1311543
"66",51.5376421,-0.1311313
"67",51.5376385,-0.1311091
"68",51.5376347,-0.1310869
"69",51.5376292,-0.1310659
"70",51.5376268,-0.1310458
"71",51.537626,-0.1310252
"72",51.5376262,-0.1310054
"73",51.5376205,-0.1309876
"74",51.5376111,-0.1309706
"75",51.5375985,-0.1309587
"76",51.5375894,-0.1309451
"77",51.5375851,-0.1309252
"78",51.5375828,-0.1309032
"79",51.5375804,-0.1308819
"80",51.5375768,-0.1308632
"81",51.5375732,-0.1308472
"82",51.5375688,-0.1308355
"83",51.5375639,-0.1308217
"84",51.5375576,-0.1308071
"85",51.5375512,-0.1307918
"86",51.5375447,-0.1307763
"87",51.5375365,-0.1307618
"88",51.5375273,-0.1307467
"89",51.5375184,-0.130731
"90",51.5375096,-0.1307144
"91",51.5375013,-0.1306975
"92",51.5374944,-0.1306811
"93",51.5374878,-0.1306643
"94",51.5374864,-0.1306461
"95",51.5374878,-0.1306276
"96",51.537489,-0.13061
"97",51.5374897,-0.130593
"98",51.5374882,-0.1305789
"99",51.5374838,-0.1305658
"100",51.5374769,-0.1305541
"101",51.5374691,-0.130543
"102",51.5374625,-0.1305325
"103",51.5374557,-0.1305209
"104",51.5374508,-0.1305064
"105",51.5374478,-0.1304914
"106",51.5374526,-0.1304804
"107",51.5374562,-0.1304757
"108",51.537459,-0.130473
"109",51.5374591,-0.1304712
"110",51.5374581,-0.1304677
"111",51.5374597,-0.1304652
"112",51.5374599,-0.1304636
"113",51.53746,-0.1304588
"114",51.5374573,-0.1304518
"115",51.5374561,-0.1304443
"116",51.5374496,-0.1304348
"117",51.5374418,-0.1304259
"118",51.537432,-0.130418
"119",51.5374203,-0.1304081
"120",51.5374084,-0.1303959
"121",51.5373963,-0.1303857
"122",51.5373864,-0.1303702
"123",51.537379,-0.1303504
"124",51.5373758,-0.1303325
"125",51.537373,-0.1303166
"126",51.5373675,-0.1303003
"127",51.5373589,-0.1302885
"128",51.5373465,-0.1302834
"129",51.5373328,-0.1302837
"130",51.5373188,-0.1302857
"131",51.5373039,-0.1302859
"132",51.5372889,-0.1302849
"133",51.5372724,-0.1302803
"134",51.5372551,-0.1302731
"135",51.5372393,-0.1302606
"136",51.537225,-0.1302463
"137",51.5372117,-0.1302373
"138",51.5371983,-0.1302196
"139",51.5372144,-0.130189
"140",51.537222,-0.130148
"141",51.5372335,-0.1300931
"142",51.5372476,-0.1300312
"143",51.5372607,-0.1299741
"144",51.5372696,-0.1299216
"145",51.5372759,-0.1298786
"146",51.5372798,-0.1298381
"147",51.5372832,-0.1297993
"148",51.5372844,-0.1297653
"149",51.5372848,-0.1297323
"150",51.5372845,-0.1296994
"151",51.5372849,-0.1296693
"152",51.5372874,-0.1296395
"153",51.5372929,-0.1296154
"154",51.5372952,-0.1296001
"155",51.537294,-0.1295899
"156",51.5372922,-0.1295826
"157",51.5372903,-0.1295752
"158",51.5372903,-0.1295684
"159",51.5372923,-0.1295624
"160",51.5372943,-0.1295566
"161",51.5372947,-0.1295505
"162",51.5372906,-0.1295434
"163",51.5372857,-0.1295347
"164",51.5372814,-0.1295248
"165",51.5372792,-0.129514
"166",51.5372784,-0.1295028
"167",51.5372782,-0.1294907
"168",51.5372811,-0.129469
"169",51.537287,-0.1294363
"170",51.5372945,-0.1293983
"171",51.5373039,-0.1293577
"172",51.537309,-0.1293229
"173",51.5373041,-0.1293005
"174",51.5372806,-0.1292925
"175",51.5372578,-0.129287
"176",51.5372371,-0.1292866
"177",51.5372247,-0.1292822
"178",51.5372197,-0.1292729
"179",51.5372132,-0.1292672
"180",51.5372018,-0.1292574
"181",51.5371983,-0.1292418
"182",51.5371852,-0.1292301
"183",51.5371798,-0.129218
