"ID","Connectivity","Control","Integration","LocalIntegration","X1","Y1","X2","Y2","Length"
6520,3,0.67619,1.17896,2.02056,164.634,-5207.48,140.946,-5173.64,41.3078
6524,1,0.076923,1.26917,1.73421,-1128.05,-4882.61,-1175.43,-4842,62.3987
6536,2,0.833333,1.16749,1.05598,-1256.65,-4287.01,-1270.18,-4263.32,27.2833
6565,4,0.874242,1.09209,2.48195,-2024.81,-4114.42,-1923.29,-4111.03,101.576
6578,3,0.7,1.08997,1.83333,-1977.44,-4073.81,-1923.29,-4087.34,55.8104
6589,2,0.4,1.22243,1.65878,-694.902,-5072.12,-745.662,-5180.41,119.598
6592,3,0.861111,1.21967,2.13977,-478.326,-4977.36,-414.03,-5068.73,111.726
6594,2,0.611111,1.21911,1.65878,-444.486,-4990.9,-471.558,-4892.76,101.804
6595,2,0.444444,1.21911,1.65878,-539.238,-4963.83,-515.55,-5021.36,62.2157
6596,2,0.611111,1.21911,1.65878,-488.478,-4990.9,-444.486,-5065.35,86.4762
6597,2,0.444444,1.21911,1.65878,-522.318,-5038.28,-559.542,-4973.98,74.2957
6598,1,0.111111,1.21899,1.375,-508.782,-4997.67,-485.094,-5072.12,78.1279
6608,3,0.733333,1.21526,1.89575,-667.83,-5051.81,-589.998,-5136.42,114.958
6609,3,1.53333,1.21484,1.72393,-623.838,-5119.49,-562.926,-5122.88,61.006
6625,17,3.48175,1.19148,4.86609,-1493.53,-5349.61,-1239.73,-5072.12,376.057
6627,3,0.95,1.21271,1.77404,-610.302,-5041.66,-637.374,-5001.05,48.8058
6630,2,0.45,1.21265,1.47837,-674.598,-5082.27,-694.902,-5045.04,42.4024
6641,1,0.333333,1.20986,0.5,-502.014,-5105.96,-512.166,-5058.58,48.4529
6642,1,0.333333,1.20986,0.5,-502.014,-5082.27,-474.942,-5105.96,35.9729
6661,2,0.833333,0.985295,1.16341,-2041.73,-4307.31,-2041.73,-4378.38,71.0662
6679,2,0.533333,1.15469,1.27368,-48.5581,-4435.91,19.1219,-4412.22,71.7059
6699,2,1,1.04042,1.05598,174.786,-5258.24,120.642,-5217.63,67.6808
6712,1,0.5,1.15337,0.210897,80.0339,-4517.12,90.1859,-4581.42,65.0945
6714,4,1.66667,1.19348,2.21756,-884.406,-3989.2,-769.35,-3972.28,116.294
6716,1,0.25,1.19295,0.703987,-637.374,-4033.2,-694.902,-4046.73,59.0991
6717,1,0.25,1.19295,0.703987,-644.142,-4019.66,-698.286,-4033.2,55.8104
6718,4,1.66667,1.19283,2.29858,-860.718,-4009.51,-765.966,-3995.97,95.7141
6719,3,1.33333,1.19271,1.72393,-850.566,-4070.42,-772.734,-4060.27,78.4914
6720,2,0.642857,0.930474,1.57143,560.562,-4205.79,594.402,-4151.64,63.8506
6721,2,0.833333,1.1926,1.16341,-843.798,-4053.5,-877.638,-4056.89,34.0088
6723,2,1,1.19224,1.05598,-755.814,-4046.73,-786.27,-4053.5,31.199
6744,6,1.88333,1.28861,3.11857,-441.102,-4314.08,-508.782,-4381.76,95.7155
6747,2,0.283333,1.2869,1.96146,-458.022,-4307.31,-485.094,-4337.77,40.7494
6765,5,1.04611,1.26891,3.14676,-508.782,-4398.68,-488.478,-4496.82,100.217
6767,3,0.29611,1.26851,2.78831,-518.934,-4486.67,-532.47,-4402.06,85.6786
6769,3,0.85,1.27606,2.19662,-471.558,-4378.38,-488.478,-4391.91,21.6684
6770,2,0.3,1.27599,1.96146,-542.622,-4385.14,-502.014,-4337.77,62.399
6790,8,1.91021,1.16111,3.68872,-1490.14,-5007.82,-1510.45,-4858.92,150.278
6795,12,2.78584,1.23376,4.27705,-1253.26,-5116.11,-1483.37,-4889.38,323.048
6806,2,0.366667,1.02946,1.65878,-2238.01,-4249.78,-2224.47,-4141.49,109.134
6818,7,2.36667,1.06732,3.3625,259.386,-5004.44,452.274,-4889.38,224.598
6863,2,0.833333,1.18034,1.05598,-383.574,-4679.56,-326.046,-4625.42,79.0014
6918,12,2.13966,1.13103,4.19608,-617.07,-5471.44,-437.718,-5346.23,218.735
6946,3,0.642857,1.05652,1.95859,289.842,-4967.21,357.522,-5129.65,175.973
7003,3,0.916667,0.931189,1.77404,777.138,-4080.58,834.666,-4073.81,57.9247
7005,2,0.833333,0.930796,1.16341,807.594,-4026.43,770.37,-4019.66,37.8344
7044,3,0.400433,1.03204,2.40559,-2109.41,-4219.32,-2024.81,-4094.11,151.113
7047,4,0.900433,1.03156,2.52427,-2166.94,-4165.18,-2078.96,-4077.19,124.43
7064,2,0.625,1.23477,1.57143,-1151.74,-4578.04,-1131.44,-4554.35,31.1995
7065,2,0.625,1.23477,1.57143,-1131.44,-4615.26,-1094.21,-4584.81,48.0962
7072,5,1.80952,0.980035,2.59787,384.594,-4946.91,584.25,-4764.16,270.66
7079,6,0.817832,1.12452,3.26779,-437.718,-5410.53,-481.71,-5261.63,155.263
