ID,X,Y,X2,Y2
2426,1599.44988,-3149.94668,1599.44988,-3126.25796
2427,892.19395,-4239.62787,838.0499,-4239.62787
2428,-359.88607,-2774.31121,-417.41412,-2794.61583
2429,2783.84987,-2733.70197,2861.6819,-2943.51638
2431,-424.18212,-2703.24504,-454.63809,-2713.39735
2432,-407.26213,-2730.31787,-441.1021,-2743.85428
2433,547.02587,-3336.07228,587.63394,-3308.99945
2435,682.38595,-3481.58872,635.00989,-3498.50924
2438,1416.71396,-3650.79389,1399.79387,-3620.33696
2439,1430.24995,-3647.40978,1420.09796,-3623.72106
2440,1596.06589,-1518.80887,1467.47391,-1525.57708
2441,1406.56186,-3660.9462,1369.3379,-3623.72106
2442,1301.65786,-3691.40313,1284.73788,-3644.02568
2447,2110.43391,-3139.79437,2107.04991,-3116.10565
2448,1443.78593,-3880.91291,1440.40194,-3853.84009
2449,1457.32192,-3887.68112,1440.40194,-3874.14471
2450,1464.08991,-3877.52881,1447.16993,-3860.60829
2451,1481.0099,-3857.22419,1460.70592,-3840.30367
2452,1470.85791,-3870.7606,1457.32192,-3850.45598
2454,391.36192,-3143.17847,425.20189,-3190.55592
2455,651.92987,-4425.75355,638.39389,-4144.87298
2457,225.54587,-3471.43641,279.68993,-3434.21127
2458,2337.16189,-2889.37072,2374.38586,-2994.27793
2460,2631.56992,-2825.07276,2303.32193,-2821.68866
2461,2093.51392,-3180.40361,2093.51392,-3163.48309
2463,1494.54588,-3660.9462,1447.16993,-3664.3303
2464,2377.76996,-2973.97331,2316.85791,-2957.05279
2466,2421.76192,-2950.28458,2347.31388,-2967.2051
2467,2367.61786,-2990.89382,2431.91391,-2967.2051
2472,2455.60188,-2797.99993,2482.67396,-3014.58255
2473,1592.68189,-1684.62993,1870.16993,-1914.74896
2474,553.79386,-4354.68738,648.54588,-4144.87298
2475,631.62589,-3735.39647,533.48988,-3748.93288
2476,2191.64993,-2598.33783,2188.26594,-2642.33118
2478,157.86594,-2645.71528,157.86594,-2354.68239
2481,2371.00186,-2567.8809,2259.32986,-2571.26501
2485,2035.98587,-3268.39021,2019.06589,-3251.46978
2486,1900.6259,-3945.21088,1985.22593,-3874.14471
2487,1985.22593,-4171.9458,2117.2019,-4077.19091
2488,1958.15395,-4043.34987,2019.06589,-3972.2837
2490,448.88986,-3346.22467,482.72994,-3315.76766
2491,431.96988,-3319.15185,469.19395,-3298.84723
2498,2357.46587,-1610.17966,2814.30595,-1596.64325
2499,2810.92195,-1789.53714,2167.96196,-1769.23252
2500,2198.41793,-2693.09273,2296.55393,-2642.33118
2501,1193.36986,-3522.19796,1169.68189,-3484.97282
2502,1125.68993,-3292.07902,1064.77789,-3325.92005
2504,164.63393,-2435.90087,-28.25409,-2490.04653
2506,151.09795,-3376.68152,151.09795,-3342.84048
2510,1014.01794,-2205.78185,1074.92988,-2192.24543
2515,2228.8739,-2821.68866,2279.63395,-2645.71528
2523,2164.57796,-2067.03361,2181.49794,-2351.29829
2524,2563.88988,-3089.03282,2465.75387,-2906.29124
2526,154.48194,-2100.87464,-95.93413,-1995.96744
2530,2452.21788,-2422.36446,2340.54589,-2391.90753
2531,2252.56187,-2290.38443,2462.36987,-2300.53674
2533,2066.44195,-2351.29829,2245.79388,-2341.14598
2534,1775.41792,-3715.09185,1619.75386,-3718.47595
2535,1254.28191,-3569.57541,1203.52196,-3484.97282
2536,1301.65786,-3464.6682,1328.72994,-3525.58206
2537,1291.50587,-3545.88668,1257.66591,-3471.43641
